|2025-09-04 15:12:14  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=False   |
|2025-09-04 15:12:19  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:12:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:16:50  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:16:50  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:16:50  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:16:55  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 15:16:55  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 15:17:03  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 15:17:03  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=False   |
|2025-09-04 15:17:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:17:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:36:28  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:36:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:38:30  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:38:30  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:38:30  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:38:30  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:38:35  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:38:35  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:38:35  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:38:35  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:38:37  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 15:38:37  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 15:38:37  |   VCBChkController.List  |   조회된 데이터: 6건   |
|2025-09-04 15:38:38  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:38:38  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:38:38  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:38:41  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 15:38:41  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 15:41:05  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:41:05  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:41:05  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:41:05  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:41:07  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 15:41:07  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 15:41:07  |   VCBChkController.List  |   조회된 데이터: 7건   |
|2025-09-04 15:41:08  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:41:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:41:08  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:41:10  |   DB(VCB_CHK)  |   저장 오류: 스칼라 변수 "@GETDATE"을(를) 선언해야 합니다.   |
|2025-09-04 15:41:10  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=False, Message=저장 오류: 스칼라 변수 "@GETDATE"을(를) 선언해야 합니다.   |
|2025-09-04 15:41:13  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:41:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:41:27  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:41:27  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:41:27  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:41:32  |   DB(VCB_CHK)  |   저장 오류: 스칼라 변수 "@GETDATE"을(를) 선언해야 합니다.   |
|2025-09-04 15:41:32  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=False, Message=저장 오류: 스칼라 변수 "@GETDATE"을(를) 선언해야 합니다.   |
|2025-09-04 15:41:33  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:41:33  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:43:06  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:43:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:43:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:43:06  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:43:08  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 15:43:08  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 15:43:08  |   VCBChkController.List  |   조회된 데이터: 7건   |
|2025-09-04 15:43:09  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:43:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:43:09  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
