|2025-07-11 09:18:09  |   DCCBBasicController.List  |   DCCB 데이터 로드 성공   |
|2025-07-11 09:18:11  |   DCCABLEBasicController.List  |   GetDCCABLEListData 실행   |
|2025-07-11 09:18:11  |   dccableBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCABLEBasicInfo]   |
|2025-07-11 09:18:11  |   DB(DCCABLE_BASICINFO  |   GetAllDCCABLEBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:11  |   DCCABLEBasicController.List  |   DCCABLE 데이터 로드 성공   |
|2025-07-11 09:18:14  |   SABasicController.List  |   GetSAListData 실행   |
|2025-07-11 09:18:14  |   saBasicInfo Data  |   총 0 건 조회됨   |
|2025-07-11 09:18:14  |   DB(SA_BASICINFO)  |   GetAllSABasicInfoRepo 동작 성공   |
|2025-07-11 09:18:14  |   SABasicController.List  |   SA 데이터 로드 성공   |
|2025-07-11 09:18:17  |   DCCTBasicController.List  |   GetDCCTListData 실행   |
|2025-07-11 09:18:17  |   dcctBasicInfo Data  |   총 0 건 조회됨   |
|2025-07-11 09:18:17  |   DB(DCCT_BASICINFO)  |   GetAllDCCTBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:17  |   DCCTBasicController.List  |   DCCT 데이터 로드 성공   |
|2025-07-11 09:18:18  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:18:18  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:18:18  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:18  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:18:19  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:18:19  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:18:19  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:19  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:18:20  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2025-07-11 09:18:20  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.SUBMODULEBasicInfo]   |
|2025-07-11 09:18:20  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:20  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2025-07-11 09:18:23  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:18:23  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:18:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:23  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:18:23  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:18:23  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:08  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:21:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:08  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:21:08  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:09  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:21:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:10  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:21:10  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:12  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:21:12  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:21:12  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:12  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:21:13  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:21:13  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:21:13  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:13  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:21:19  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:21:19  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:21:19  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:19  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:21:21  |   ITRFHController.cs  |   GetITRFHByITRCode 실행   |
|2025-07-11 09:21:21  |   ITRFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-07-11 09:21:21  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:21:21  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:21:21  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:21  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:21:26  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:21:26  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:21:26  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:21:26  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:21:27  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:21:27  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
