|2025-03-04 11:14:00  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-04 11:14:00  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-04 11:14:03  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-03-04 11:14:03  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-03-04 11:14:07  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-04 11:14:07  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-04 11:14:23  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-04 11:14:23  |   VCBGojangController.List  |   조회된 데이터: 0건   |
|2025-03-04 11:14:31  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:14:31  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:14:31  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:14:31  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:14:35  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:14:35  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:14:35  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:14:35  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:14:37  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-04 11:14:37  |   vcbCode 조회 :   |   V001   |
|2025-03-04 11:14:37  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-04 11:14:39  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:14:39  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:14:39  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:14:39  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:14:40  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-04 11:14:40  |   vcbCode 조회 :   |   V001   |
|2025-03-04 11:14:40  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-04 11:14:43  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-03-04 11:14:43  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-03-04 11:14:50  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:14:50  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:14:50  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:14:50  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:14:51  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-04 11:14:51  |   vcbCode 조회 :   |   V001   |
|2025-03-04 11:14:51  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-04 11:14:57  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:14:57  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:14:57  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:14:57  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:15:06  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-04 11:15:06  |   vcbCode 조회 :   |   V001   |
|2025-03-04 11:15:06  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-04 11:15:13  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:15:13  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:15:13  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
