|2025-02-18 14:38:59  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 14:38:59  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 14:38:59  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 14:38:59  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 14:39:00  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:39:00  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:39:01  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 14:46:31  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 14:46:31  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 14:46:31  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 14:46:31  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 14:46:33  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:46:33  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:46:34  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 14:47:31  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:47:31  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:47:32  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:47:32  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:47:34  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:47:34  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:47:36  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:47:36  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:04:11  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 15:04:11  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 15:04:11  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 15:04:11  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 15:04:13  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:04:13  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:04:15  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 15:04:17  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:04:17  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:04:59  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 15:04:59  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 15:04:59  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 15:04:59  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 15:05:02  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:05:02  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:36:01  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 15:36:01  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 15:36:01  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 15:36:01  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 15:36:02  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:36:02  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:36:03  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 15:41:26  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 15:41:26  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 15:41:26  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 15:41:26  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 15:41:28  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:41:28  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:52:53  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:52:53  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:52:54  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 15:52:54  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 15:52:54  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 15:52:54  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 15:52:55  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:52:55  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:52:56  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 15:53:42  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 15:53:42  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 15:53:42  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
